name,street_address,city,state,postal_code,country,latitude,longitude,phone,website,rating_value,review_count,services,category,google_place_id,description,source,canonical_url,is_chain,chain_name
Palm Beach Tan,814-A Annalue Dr,Auburn,AL,36830,US,32.6119264,-85.4640082,(334) 826-7778,https://palmbeachtan.com/locations/AL/Auburn-Annalue-Drive/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ALA201,4.3,88.0,"Infrared Sauna, Red Light Therapy, Halotherapy",,ChIJ-ecWKOryjIgRMijhbgHk654,"Infrared Sauna available in Auburn, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/auburn/palm-beach-tan-814-a,True,Palm Beach Tan
Alchemy Spa and Wellness,2821 2nd Ave S,Birmingham,AL,35233,US,33.5160068,-86.791197,(205) 588-5992,https://www.alchemyspabham.com/,5.0,4.0,"Infrared Sauna, Massage, Traditional Sauna",,ChIJU7HAZXQbiYgR4uZeYf-utOA,"Traditional Sauna available in Birmingham, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/birmingham/alchemy-spa-and-wellness,False,
Azia Medical Spa,153 Narrows Pkwy 201 2nd Floor,Birmingham,AL,35242,US,33.3700212,-86.6639395,(205) 980-7772,http://www.aziamedispa.com/?utm_source=gmb&utm_medium=organic,4.8,143.0,"Infrared Sauna, Massage, Traditional Sauna",,ChIJ9fDIyd89iYgRRJNJgF0mIRk,"Traditional Sauna available in Birmingham, Alabama. Private Session available.",plunge,https://plungesaunafinder.com/alabama/birmingham/azia-medical-spa,False,
"HOTWORX - Birmingham, AL - Midtown",2901 4th Ave S Suite 1I,Birmingham,AL,35233,US,33.5148151,-86.7891509,(205) 502-7898,https://www.hotworx.net/studio/birmingham-midtown/,4.4,51.0,Infrared Sauna,,ChIJT5rwGcAbiYgRYSHyrpHSE2I,"Infrared Sauna available in Birmingham, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/birmingham/hotworx-birmingham-al-midtown,True,HOTWORX
Healing Waters Wellness Center & Spa,720 23rd St S,Birmingham,AL,35233,US,33.5069807,-86.7954723,(205) 323-7582,http://www.morethancolonics.com/,4.9,333.0,"Infrared Sauna, Massage, Traditional Sauna",,ChIJf2LlGccbiYgRrSO4d3ucQ-g,"Traditional Sauna available in Birmingham, Alabama. Private Session available.",plunge,https://plungesaunafinder.com/alabama/birmingham/healing-waters-wellness-center-spa,False,
RCVRY House,"Located inside of Wheelhouse Academy, 2424 4th Ave S",Birmingham,AL,35233,US,33.5124246,-86.7956005,(205) 572-6172,https://rcvryhouse.com/,5.0,9.0,"Cold Plunge, Infrared Sauna, Traditional Sauna",,ChIJ00mUmtMbiYgRJpPfAxFFDjQ,"Traditional Sauna available in Birmingham, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/birmingham/rcvry-house,False,
Restore Hyper Wellness,2800 Cahaba Village Pl Ste. 210,Birmingham,AL,35223,US,33.461075,-86.7531729,(205) 649-7874,https://www.restore.com/locations/al-birmingham-mt-brook-al001?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4MTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.9,350.0,"Cryotherapy, Red Light Therapy, Infrared Sauna",,ChIJH2e0gOAZiYgRTF0t3Znka9I,"Cryotherapy available in Birmingham, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/birmingham/restore-hyper-wellness-2800,True,Restore Hyper Wellness
Beyond the Plunge,25265 AL-181 Suite 102,Daphne,AL,36526,US,30.5923917,-87.8529324,(251) 699-0108,https://beyondtheplunge.com/,5.0,19.0,"Cold Plunge, Infrared Sauna, Massage, Traditional Sauna",,ChIJ6RhKAb9rmogR9xQhW147g1E,"Traditional Sauna available in Daphne, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/daphne/beyond-the-plunge,False,
Dothan Athletic Club,3509 Montgomery Hwy,Dothan,AL,36303,US,31.2545382,-85.433456,(334) 699-1069,http://www.dothanathleticclub.com/,4.2,134.0,"Infrared Sauna, Steam Room, Traditional Sauna",,ChIJpfV2BAySkogRzb_9cU-ey7c,"Traditional Sauna available in Dothan, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/dothan/dothan-athletic-club,False,
Palm Beach Tan,403-409 Cox Creek Pkwy Ste B-C,Florence,AL,35630,US,34.8410284,-87.6394206,(256) 764-1820,https://palmbeachtan.com/locations/AL/Cox-Creek-Parkway/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ALA008,4.3,108.0,"Infrared Sauna, Red Light Therapy, Halotherapy",,ChIJN8jpOiA2fYgRJZvUod9lXFQ,"Infrared Sauna available in Florence, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/florence/palm-beach-tan-403-409,True,Palm Beach Tan
The Gym of Foley,120 W Berry Ave,Foley,AL,36535,US,30.4184306,-87.6850176,(251) 714-9715,http://www.gymoffoley.com/,4.8,76.0,"Infrared Sauna, Traditional Sauna",,ChIJxX-dq-MNmogRIpBuuMI_D1c,"Traditional Sauna available in Foley, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/foley/the-gym-of-foley,False,
Wine Down Spa,1001 Rainbow Dr Suite 29,Gadsden,AL,35901,US,33.9956897,-86.007024,(256) 458-9669,https://winedownspa.com/,4.9,79.0,"Float, Infrared Sauna, Massage, Traditional Sauna",,ChIJ0VixZY45iogR0vF3AANSaWI,"Traditional Sauna available in Gadsden, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/gadsden/wine-down-spa,False,
R3 Contrast,3250 Independence Dr Suite 10,Homewood,AL,35209,US,33.4738949,-86.787521,(205) 872-0580,https://www.r3contrast.com/,,,"Cold Plunge, Infrared Sauna, Traditional Sauna",,,"Traditional Sauna available in Homewood, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/homewood/r3-contrast,False,
"Body Essentials HSV, Wellness & Beauty",3609 Memorial Pkwy SW Suite A1,Huntsville,AL,35801,US,34.6935374,-86.5815554,(256) 715-0854,http://www.bodyenvyhsv.com/,5.0,43.0,"Infrared Sauna, Red Light Therapy, Lymphatic Drainage, Massage",,ChIJXYTG_QRtYogRBIXwJcO3D-c,"Infrared Sauna available in Huntsville, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/huntsville/body-essentials-hsv-wellness-beauty,False,
Float Huntsville,1303 Four Mile Post Rd SE Suite A,Huntsville,AL,35802,US,34.6725709,-86.5501782,(256) 202-4868,https://www.floathuntsville.com/,4.9,110.0,"Float, Infrared Sauna, Massage, Red Light Therapy",,ChIJXSP30SwTYogRv3mMjmMeock,"Float available in Huntsville, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/huntsville/float-huntsville,False,
Johnson Legacy Center,6000 Cecil Fain Dr,Huntsville,AL,35810,US,34.7998729,-86.6103245,(256) 213-4552,https://www.huntsvilleal.gov/environment/parks-recreation/recreation/recreation-centers/johnson-legacy-center/,4.7,62.0,"Infrared Sauna, Massage, Traditional Sauna",,ChIJqfGdKs5rYogRbr4bIeoiBts,"Traditional Sauna available in Huntsville, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/huntsville/johnson-legacy-center,False,
Palm Beach Tan,4800 Whitesburg Dr Ste 2,Huntsville,AL,35801,US,34.6920197,-86.5701405,(256) 880-0182,https://palmbeachtan.com/locations/AL/Huntsville-Whitesburg-Drive/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ALA009,4.3,209.0,"Infrared Sauna, Red Light Therapy, Halotherapy",,ChIJCdcJOSUTYogRl-ltEqegOI8,"Infrared Sauna available in Huntsville, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/huntsville/palm-beach-tan-4800,True,Palm Beach Tan
Swift Recovery,2722 Carl T Jones Dr SE Suite A2,Huntsville,AL,35802,US,34.6759002,-86.5478858,(256) 210-1810,https://www.swiftrecoveryhsv.com/,5.0,30.0,"Infrared Sauna, Cold Plunge, Cryotherapy, Red Light Therapy, Lymphatic Drainage, PEMF Therapy",,ChIJ0wfvPJ0TYogRw17EH3BPFN4,"Infrared Sauna available in Huntsville, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/huntsville/swift-recovery,False,
VOUS Salon Retreat,3315 Bob Wallace Ave SW #207,Huntsville,AL,35805,US,34.7119636,-86.6127166,(256) 417-1862,http://www.voussalonretreat.com/,4.9,70.0,"Infrared Sauna, Halotherapy, Massage",,ChIJ5z_FCuptYogRX_Sn6y3L3mE,"Infrared Sauna available in Huntsville, Alabama. ",plunge,https://plungesaunafinder.com/alabama/huntsville/vous-salon-retreat,False,
Vitality Solace Suites,3315 Bob Wallace Ave SW #107,Huntsville,AL,35805,US,34.7119975,-86.6127966,(256) 385-8808,http://www.vitalitysolace.com/,5.0,29.0,"Halotherapy, Infrared Sauna, Red Light Therapy",,ChIJ0e9EZ45sYogRLZZzloHbA6k,"Halotherapy available in Huntsville, Alabama. Private Session available.",plunge,https://plungesaunafinder.com/alabama/huntsville/vitality-solace-suites,False,
Jasper Wellness and Recovery,800 Hwy 78 E Ste 500,Jasper,AL,35501,US,33.8484439,-87.2655053,(256) 873-6104,https://jasperwellnessrecovery.com/,5.0,9.0,"Cold Plunge, Infrared Sauna, Traditional Sauna",,ChIJlfotdABhiIgRm_bZpJyISEI,"Traditional Sauna available in Jasper, Alabama. ",plunge,https://plungesaunafinder.com/alabama/jasper/jasper-wellness-and-recovery,False,
"HOTWORX - Madison, AL - Clift Farm",419 John Henry Way J,Madison,AL,35757,US,34.7523151,-86.7617773,(256) 325-2456,https://www.hotworx.net/studio/madison-cliftfarm/,4.5,51.0,Infrared Sauna,,ChIJFVrtQWtnYogR0Tp4TUz6Eh4,"Infrared Sauna available in Madison, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/madison/hotworx-madison-al-clift-farm,True,HOTWORX
Palm Beach Tan,"7690 Lee Highway, Hwy 72 W Ste 103",Madison,AL,35758,US,34.7555993,-86.7366483,(256) 430-1917,https://palmbeachtan.com/locations/AL/Madison-Highway-72-West/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ALA010,4.1,152.0,"Infrared Sauna, Red Light Therapy, Halotherapy",,ChIJ4z3P1wJvYogRQsyVZ7ok6t0,"Infrared Sauna available in Madison, AL. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/madison/palm-beach-tan-7690,True,Palm Beach Tan
"HOTWORX - Montgomery, AL - Peppertree",7252 Halcyon Park Dr,Montgomery,AL,36117,US,32.3397476,-86.1740113,(334) 440-8111,https://www.hotworx.net/,4.2,41.0,Infrared Sauna,,ChIJTzcd3aAtjIgRqTB6HAFfojM,"Infrared Sauna available in Montgomery, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/montgomery/hotworx-montgomery-al-peppertree,True,HOTWORX
M.A. Fitness Center,209 Madison Ave,Montgomery,AL,36104,US,32.3801524,-86.3057969,(334) 244-4640,https://www.mafitnessmgm.com/,4.2,172.0,"Infrared Sauna, Traditional Sauna",,ChIJjbVbDJkqjIgRfMZzAw-Xzeo,"Traditional Sauna available in Montgomery, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/montgomery/m-a-fitness-center,False,
Palm Beach Tan,4025 Atlanta Hwy,Montgomery,AL,36109,US,32.3834439,-86.2426703,(334) 213-0987,https://palmbeachtan.com/locations/AL/Montgomery-Atlanta-Highway/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ALA206,4.5,94.0,"Infrared Sauna, Red Light Therapy, Halotherapy",,ChIJeXooTRoqjIgREmKYQIQEk6Y,"Infrared Sauna available in Montgomery, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/montgomery/palm-beach-tan-iqek6y,True,Palm Beach Tan
Orange Beach Adult Fitness Center,4847 Wilson Blvd,Orange Beach,AL,36561,US,30.2955372,-87.5606889,(251) 981-6028,https://www.orangebeachal.gov/469/Adult-Fitness-Center,4.9,7.0,"Infrared Sauna, Traditional Sauna",,ChIJgcnyB6MHmogRlNuBBs_nP9k,"Traditional Sauna available in Orange Beach, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/orange-beach/orange-beach-adult-fitness-center,False,
The Bar Fitness-Gym and Spa for Women,22245 AL-59,Robertsdale,AL,36567,US,30.5490563,-87.7093757,(251) 550-9494,http://www.thebar4women.com/,5.0,28.0,"Infrared Sauna, Massage",,ChIJqzgUEKBtmogRLgI9m2vOMZQ,"Infrared Sauna available in Robertsdale, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/robertsdale/the-bar-fitness-gym-and-spa-for-women,False,
"HOTWORX - Trussville, AL",106 S Chalkville Rd,Trussville,AL,35173,US,33.6190366,-86.6083963,(205) 767-6767,https://www.hotworx.net/studio/trussville/,4.3,24.0,Infrared Sauna,,ChIJE6p3_y0NiYgRhHs7Kt4xfeo,"Infrared Sauna available in Trussville, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/trussville/hotworx-trussville-al,True,HOTWORX
"HOTWORX - Tuscaloosa, AL - University Blvd",1306 University Blvd suite d,Tuscaloosa,AL,35401,US,33.2113444,-87.5548481,(205) 710-7475,https://www.hotworx.net/studio/tuscaloosa-universityblvd,4.3,23.0,Infrared Sauna,,ChIJ4YVJCRADhogRFcMnNxagngQ,"Infrared Sauna available in Tuscaloosa, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/tuscaloosa/hotworx-tuscaloosa-al-university-blvd,True,HOTWORX
Palm Beach Tan,1130 University Blvd Ste B-7,Tuscaloosa,AL,35401,US,33.2112862,-87.5524165,(205) 345-8912,https://palmbeachtan.com/locations/AL/Tuscaloosa-University-Boulevard/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ALA007,3.8,43.0,"Infrared Sauna, Red Light Therapy, Halotherapy",,ChIJV_mDLZYChogRsB7V8iIRpJc,"Infrared Sauna available in Tuscaloosa, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/tuscaloosa/palm-beach-tan-the-strip,True,Palm Beach Tan
beem® Light Sauna - Tuscaloosa,1800 McFarland Blvd E Suite #422,Tuscaloosa,AL,35404,US,33.1944845,-87.5278421,(205) 650-6000,https://beemlightsauna.com/tuscaloosa/,5.0,33.0,"Infrared Sauna, Red Light Therapy",,ChIJtSdm_76piIgRLZuzyxOr9MA,"Red Light Therapy available in Tuscaloosa, Alabama. Day Pass available.",plunge,https://plungesaunafinder.com/alabama/tuscaloosa/beem-light-sauna-tuscaloosa,True,beem Light Sauna
"HOTWORX Vestavia Hills, AL",790 Montgomery Hwy #124,Vestavia Hills,AL,35216,US,33.443904,-86.79247,(205) 502-7511,https://www.hotworx.net/studio/vestaviahills/,4.7,27.0,Infrared Sauna,,ChIJe0Eq-yoZiYgRnlP6c6jdVtc,"Infrared Sauna available in Vestavia Hills, Alabama. Membership available.",plunge,https://plungesaunafinder.com/alabama/vestavia-hills/hotworx-vestavia-hills-al,True,HOTWORX
Pulse Premier Fitness - Benton,1214B Military Rd,Benton,AR,72015,US,34.5758912,-92.5792577,(501) 214-0451,http://pulsepremierfitness.com/,4.1,152.0,"Infrared Sauna, Massage, Traditional Sauna",,ChIJ49GOvqVXzYcR4j39WJ1i5NM,"Traditional Sauna available in Benton, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/benton/pulse-premier-fitness-benton,False,
Saline Performance + Wellness Center,1000 AR-35 | Suite 9,Benton,AR,72019,US,34.5730994,-92.5924112,(501) 672-0746,https://www.salineperformance.com/,5.0,25.0,"Infrared Sauna, Red Light Therapy, Massage, Lymphatic Drainage",,ChIJ53NRDLZRzYcREo953JvHPms,"Infrared Sauna available in Benton, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/benton/saline-performance-wellness-center,False,
C-Suites: Sauna and Plunge,1101 S Walton Blvd Suite 7,Bentonville,AR,72712,US,36.3596099,-94.2151767,(479) 506-7929,https://c-suitesaunas.com/,5.0,69.0,"Infrared Sauna, Cold Plunge, Red Light Therapy",,ChIJVyMiEi4RyYcRa7JqPCmAOmw,"Infrared Sauna available in Bentonville, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/bentonville/c-suites-sauna-and-plunge,False,
Red Light Method,1400 SE Walton Blvd,Bentonville,AR,72712,US,36.3338224,-94.1914596,(479) 721-2206,https://redlightmethod.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link,5.0,432.0,"Infrared Sauna, Red Light Therapy, PEMF Therapy",,ChIJVZ5vOhgRyYcRWMQUuB87j_I,"Infrared Sauna available in Bentonville, Arkansas. ",plunge,https://plungesaunafinder.com/arkansas/bentonville/red-light-method-1400,False,
AR Refresh Wellness LLC,1011 N 2nd St Suite F,Cabot,AR,72023,US,34.9815816,-92.0089537,(501) 286-4144,https://arrefreshwellness.com/,5.0,8.0,"Cryotherapy, Infrared Sauna, Red Light Therapy, Traditional Sauna",,ChIJUQwEpXjv0ocRqkaVLYK0VXo,"Traditional Sauna available in Cabot, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/cabot/ar-refresh-wellness-llc,False,
Balance and Bliss Day Spa ( Formerly Shalee's Day Spa & Skin Care),1102 S Pine St suite 8,Cabot,AR,72023,US,34.9548366,-92.0092817,(501) 941-2321,http://balanceandblissdayspa.com/,4.9,165.0,"Infrared Sauna, Red Light Therapy, Massage",,ChIJ_bBV7j_v0ocRLDbBjA6WnWM,"Infrared Sauna available in Cabot, Arkansas. Private Session available.",plunge,https://plungesaunafinder.com/arkansas/cabot/balance-and-bliss-day-spa-formerly-shalee-s-day-spa-skin-care,False,
Sync Fitness & Movement,605 Dave Ward Dr #102,Conway,AR,72034,US,35.0662879,-92.4305572,(501) 358-6595,https://warrentmartin.clickfunnels.com/sign-up,4.9,89.0,"Cold Plunge, Infrared Sauna, Red Light Therapy, Traditional Sauna",,ChIJd-KMZlqC0ocRLEvAT8EWWs4,"Traditional Sauna available in Conway, Arkansas. Membership available.",plunge,https://plungesaunafinder.com/arkansas/conway/sync-fitness-movement,False,
"HOTWORX - Fort Smith, AR",4300 Rogers Ave Suite 2,Fort Smith,AR,72903,US,35.3682869,-94.3842936,(479) 242-8575,https://www.hotworx.net/studio/fort-smith/,5.0,203.0,Infrared Sauna,,ChIJ6e3Wqd2zy4cRT1c9wH6IqYg,"Infrared Sauna available in Fort Smith, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/fort-smith/hotworx-fort-smith-ar,True,HOTWORX
Violet Room Spa,5111 Rogers Ave Ste. 40N,Fort Smith,AR,72903,US,35.3663013,-94.3758805,(479) 461-7099,https://www.violetroomspa.com/,4.7,19.0,Infrared Sauna,,ChIJs5KzSkxNyocRP_KKgQvdf1k,"Infrared Sauna available in Fort Smith, Arkansas. ",plunge,https://plungesaunafinder.com/arkansas/fort-smith/violet-room-spa,False,
Benton House Designs - Aveda Concept Salon & Boutique,811 S Pine St,Harrison,AR,72601,US,36.2206608,-93.1108959,(870) 743-1042,http://bentonhousedesigns.com/,4.8,54.0,"Infrared Sauna, Massage, Traditional Sauna",,ChIJQVu8D7OKzocRpCnStN7n2W0,"Traditional Sauna available in Harrison, Arkansas. Private Session available.",plunge,https://plungesaunafinder.com/arkansas/harrison/benton-house-designs-aveda-concept-salon-boutique,False,
Palm Beach Tan,1810 E Highland Dr,Jonesboro,AR,72401,US,35.8217372,-90.6842719,(870) 738-8030,https://palmbeachtan.com/locations/AR/Jonesboro-East-Highland-Drive/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ARK001,4.8,161.0,"Infrared Sauna, Red Light Therapy",,ChIJr9Csya0u1IcRXET76uZ8658,"Infrared Sauna available in Jonesboro, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/jonesboro/palm-beach-tan-1810,True,Palm Beach Tan
Palm Beach Tan,3410 E Johnson Ave,Jonesboro,AR,72405,US,35.8575801,-90.6583592,(870) 738-8033,https://palmbeachtan.com/locations/AR/Jonesboro-Johnson-Road/?utm_source=google_my_business&utm_medium=organic&utm_campaign=seo&utm_content=ARK005,4.8,122.0,"Infrared Sauna, Red Light Therapy",,ChIJ63C-WPYr1IcRusVlxB1nvXk,"Infrared Sauna available in Jonesboro, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/jonesboro/palm-beach-tan-3410,True,Palm Beach Tan
"Sana Vita | Cryotherapy, Float Therapy, Redlight Therapy, Oxygen Bar, Infrared saunas, Compression therapy | Wellness",534 W Washington Ave,Jonesboro,AR,72401,US,35.8387282,-90.7101683,(870) 938-0574,https://www.sanavitawellness.net/,5.0,15.0,"Infrared Sauna, Cryotherapy, Float, Halotherapy, Red Light Therapy, Massage",,ChIJQdsno3op1IcR7u8wzOqb8Mk,"Infrared Sauna available in Jonesboro, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/jonesboro/sana-vita-cryotherapy-float-therapy-redlight-therapy-oxygen-bar-infrared-saunas-compression-therapy-wellness,False,
Workout Anytime Hilltop - Jonesboro,3410 E Johnson Ave Ste V,Jonesboro,AR,72401,US,35.8583765,-90.6582455,(870) 336-0290,https://workoutanytime.com/location/hilltop-jonesboro/,4.4,74.0,"Infrared Sauna, Traditional Sauna",,ChIJsyPT7YQr1IcRav2Ro3o3ZzE,"Infrared Sauna available in Jonesboro, Arkansas. Membership available.",plunge,https://plungesaunafinder.com/arkansas/jonesboro/workout-anytime-hilltop-jonesboro,False,
Ava Bella Day Spa,301 N Shackleford Rd C3,Little Rock,AR,72211,US,34.7561958,-92.3921171,(501) 954-8888,http://www.avabelladayspa.com/,4.6,144.0,"Infrared Sauna, Massage",,ChIJl0D6w02h0ocRtNaHlOFj3lI,"Infrared Sauna available in Little Rock, Arkansas. Day Pass available.",plunge,https://plungesaunafinder.com/arkansas/little-rock/ava-bella-day-spa,False,
"HOTWORX - Little Rock, AR - Hwy 10",12911 Cantrell Rd #9,Little Rock,AR,72223,US,34.797261,-92.4159285,(501) 920-4705,https://www.hotworx.net/studio/littlerock-hwy10/,4.8,87.0,Infrared Sauna,,ChIJb1BhqECh0ocRUvfsvNO3MPA,"Infrared Sauna available in Little Rock, Arkansas. Membership available.",plunge,https://plungesaunafinder.com/arkansas/little-rock/hotworx-little-rock-ar-hwy-10,True,HOTWORX
Uni Lez,8414 Geyer Springs Rd #7,Little Rock,AR,72209,US,34.6731101,-92.3446422,(469) 719-1248,https://square.site/book/6PS2BF6CJSQTT/the-healthy-spot-yoni-steam-and-body-contour-by-uni_lez-little-rock-ar,5.0,4.0,"Infrared Sauna, Lymphatic Drainage, Massage, Traditional Sauna",,ChIJfUA_DWal0ocRfrHY6FIefGQ,"Traditional Sauna available in Little Rock, Arkansas. Private Session available.",plunge,https://plungesaunafinder.com/arkansas/little-rock/uni-lez,False,
